번호,작성자,작성일,댓글,회차,좋아요,대댓글수
79,로사❤,15.12.10,"29살인데 9년을 수행했다고 했는데 저런 높은분을 20살에 무슨 경력으로 그 옆에있었지 의아하네요.
상식적으로 이해가 안되는 부분!
남자는 월반에 월반 해서 저렇게 능력자~
로설에서 그정도 뭐 ok~
미소는 어떻 성장배경이 있는지???",김 비서가 왜 그럴까(애장판) 01화,392,29
80,빨강머리앤,15.12.10,태양이  언어 영역이 남달라요^^,김 비서가 왜 그럴까(애장판) 73화,391,7
81,똬아앗,15.12.08,"좋아좋아 ㅋ
기무고뭐고캐시쓰고있다는",김 비서가 왜 그럴까(애장판) 14화,386,34
82,적월영,16.01.18,부모님이 제일나빠요..어떻게 가해자가 피해자인척하는데 그걸 그대로 방관하고 비난하게두죠?,김 비서가 왜 그럴까(애장판) 44화,382,9
83,달의정원,15.12.08,"엉 ᆢ??
유괴 된거였었어ᆢ??
그럼 ᆢ 미소는 뭐야ᆢ 같이 유괴되었던건가ᆢ
설마ᆢ 미소엄마가 유괴범이었던건ᆢ 
아하하;;  아니겠지 ᆢ
그럼 형에 대한 배려운운은  뭐지ᆢ",김 비서가 왜 그럴까(애장판) 22화,380,18
84,일단읽고봅시다~💋,15.12.08,"미쵸미쵸.,.깔끔한 사표와 지저분한 뒷끝 푸하하하하하하 ?",김 비서가 왜 그럴까(애장판) 63화,380,2
85,니냐니뇨,15.12.13,"이런 이제보니 프로포즈는 미소가 먼저
했었네ㅋㅋㅋ
심각한 상황인데 깜찍한 미소때문에
웃음이나오는근요~~",김 비서가 왜 그럴까(애장판) 52화,379,4
86,별리와소리☆★,15.12.09,"아ᆢ 저는 미소가 좋아한다는 작가가 영준이라서 ᆢ 인가 했더니 ᆢ
ㅋㅋ 님들 말처럼 19금 로맨스물이었나 ᆢ ㅎㅎ",김 비서가 왜 그럴까(애장판) 28화,378,18
87,바람불다♡♡,15.12.09,"푸하하하하 ᆢ 아하하하하 ᆢ
영준아 ᆢ 정말 애틋해줄 사이가 없구나
내가 책을 읽으면 습관처럼 커피나 국화차를 마시는데 너만 나오면 컵을 멀리~ 멀~리 
이사를 보낸다 
영준아 ᆢ 나 차 마셔가며 너 만나면 정말 안되겠니 ᆢ??  크흡 ᆢ",김 비서가 왜 그럴까(애장판) 30화,377,9
88,his,16.07.03,"아이구 영준아~~~~
미소랑 둘이 어깨동무하구
그렇게 명랑운동회를 하구싶었쪄요?
ㅎㅎㅎㅎ어때 미소바스트가
느껴지니? 이런 응큼한남자야
그걸어찌9년동안이나 참구살았데?
표시좀내라",김 비서가 왜 그럴까(애장판) 21화,376,7
89,별리와소리☆★,15.12.14,"하하ᆢ 기무였지만 중간중간 질러버렸네요~♥♥
사랑스러운 여주와 나르시즘 남주를 데리고 즐거운 여행 즐거이 다녔습니다 
책을 읽으면서 커피 한 잔 못 마신애는 얘가 처음입니다 ㅋㅋ
무거운 주제임에도 무겁지않게 갈등도 너무 깊지않게 ᆢ 개그 한편을 보는 듯 하면서도 결코 가볍지않게 ᆢᆢ^^**
잘 읽었습니다 작가님 ♥♥",김 비서가 왜 그럴까(애장판) 78화,372,19
90,바람불다♡♡,15.12.08,그러게나요 이름 부르면 뛰어와서 영준이를 두바퀴쯤 돌아야 이름이 다 불리워져서 다음 일을 할 수 있을 듯 ᆢ???,김 비서가 왜 그럴까(애장판) 16화,372,5
91,Hb,15.12.07,"퀸 용녀 
작가님 완전 빵터짐요
이거 드라마화하면 대박터질듯",김 비서가 왜 그럴까(애장판) 17화,372,14
92,바람속을걷다,15.12.11,"생각보다는 안꼬이고 쉽게 갈 듯 하네요
엄청 추리 시키거나 서스펜스 정도 될줄 알았더니ᆢ ㅋㅋ",김 비서가 왜 그럴까(애장판) 42화,371,8
93,니냐니뇨,15.12.23,나도 저런 시어머니 만나고싶다ㅠㅠ,김 비서가 왜 그럴까(애장판) 66화,370,32
94,바람불다♡♡,15.12.12,"정말ᆢ 끼익끼익에 거미에 케이블카 선에 개껌까지 ᆢ 서브  못지않던 조연급 주연들
이제 아쉬워서 어쩌누ᆢㅋㅋ

이제 달콤달콤 분홍분홍으로 고고~!!",김 비서가 왜 그럴까(애장판) 57화,369,14
95,니냐니뇨,15.12.07,"ㅋㅋㅋㅋㅋ살짝 진상+귀여운 보스네요
근데 전 보스가 고생좀했으면 좋겠네요
미소때문에.....",김 비서가 왜 그럴까(애장판) 04화,364,4
96,오늘만_사는_뽀시래기🐋,15.12.12,형이랑 사이가 안좋은게 형대신 유괴 당한듯 하네요..그래서 그 여자가 형이름으로 부르고...기억의 오류가 생긴듯해요,김 비서가 왜 그럴까(애장판) 23화,352,13
97,SarahYoon,16.02.19,"빅뱅에 이은 승룡봉송...
미치겠닼ㅋㅋ",김 비서가 왜 그럴까(애장판) 69화,351,7
98,유갱,15.12.18,"자까님 보고 있나요?
하...작가님 취향저격 잘하시는듯!
진짜 재밌어요!!???",김 비서가 왜 그럴까(애장판) 39화,351,3
99,바람속을걷다,15.12.12,그러고있는 사이 신상 다 털린다 미소야 ㅋㅋ,김 비서가 왜 그럴까(애장판) 61화,351,6
