번호,작성자,작성일,댓글,회차,좋아요,대댓글수
100,나의,15.12.12,"하트 하트 애니팡 하트  ㅋㅋ
애니팡 처음깔고 울 신랑한테 하트 보내달라고 했더니 
  하트 이모티콘 보내줬다는 ~~~@@
것도 두번씩이나  큭큭 큭 큭 ♡♡♡
ᆞᆞᆞᆞ   그때 생각 난다 ᆞᆞᆞᆞ",김 비서가 왜 그럴까(애장판) 12화,350,16
101,로설이조아😁😍😘,15.12.08,부창부수...ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 58화,349,23
102,바람불다♡♡,15.12.07,너님들 ᆢ 뭐냐ᆢ??,김 비서가 왜 그럴까(애장판) 11화,346,2
103,일단읽고봅시다~💋,15.12.07,꺄~~외향적 성향을지닌 코털...미치겠다 푸하하하하하하 ?,김 비서가 왜 그럴까(애장판) 20화,338,3
104,바람속을걷다,15.12.13,"저는 영준이 그동안 없애야만 했던 자신을 여기 존재한다고 ᆢ 인정 받고 싶어 하는거 같아 오히려 애틋하네요
???",김 비서가 왜 그럴까(애장판) 65화,336,1
105,거멍이,15.12.08,푸하하   진짜웃겨 무지개명품빤쮸 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 47화,335,4
106,💖내꺼하자💖,16.01.06,영준이는 유괴당한 당시 같이 있던 여자아이가 미소인걸 알면서도 숨기는거고..미소는 그 오빠가 영준이가 아닐까?영준이면 어쩌지?하는 상황이군~미소가 영준에게 물어만보면..그때 그 오빠를 찾고있다고 한마디만 해주면..영준이도 미소 붙잡을려고 머리 굴리지 않아도 되고..비데로 뒷처리 한거마냥 시원하게 다 풀릴것 같은데 말이지~^^;,김 비서가 왜 그럴까(애장판) 28화,334,7
107,🌙💫✨🌟💍,15.12.14,Bigbangandromedasupernovasonic. 브리더가 족보 업댓하면서 욕했겠다ㅋ 자리가 모자라!,김 비서가 왜 그럴까(애장판) 16화,333,2
108,블루노바,15.12.24,키스하는데 41화 걸렸는데 우리가 원하는 장면이 나오려면 아직 멀은듯-_-;,김 비서가 왜 그럴까(애장판) 41화,329,12
109,SarahYoon,17.05.02,셀카봉으로 베테랑 비서를 낚는 스킬이라니.,김 비서가 왜 그럴까(애장판) 79화,328,6
110,달의정원,15.12.10,"이커플 ᆢ도대제 언제 ᆢ진지하게
달콤달콤 ᆢ 닭살모드 되는겁니까ᆢ 큽 ᆢ",김 비서가 왜 그럴까(애장판) 33화,328,17
111,로설이조아😁😍😘,15.12.08,아잉~ 좋아~ ~ 필 받았을때 진도좀 어여 빼보삼~~♥,김 비서가 왜 그럴까(애장판) 38화,327,12
112,바람속을걷다,15.12.11,"헬 게이트가 완전 개방 상태로 기다린대ᆢ
영준 우짜면 좋아 ???
개방된 채 기다리는 헬 게이트명은 ᒺ성연??",김 비서가 왜 그럴까(애장판) 44화,326,4
113,세이지골드,18.06.13,"작가님 센스 대밧이셔요.
영준이가 영준이를 질투하다니 ㅋㅋㅋ
역시 박서준이네요.",김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 2화,325,4
114,별리와소리☆★,15.12.13,"글쎄요 싫어서 인상을 구길지도ᆢ
1년간 신혼 즐긴다고 피임중인데 덜컥 ~!! 쳐들어 왔으니ᆢ♥♥",김 비서가 왜 그럴까(애장판) 68화,325,20
115,후~후~~,15.12.11,"요즘 새로 뜬 기무소설들이 너무 답답한게 많아 중도포기 많이 했는데 오랜만에 재미있는 소설이네요
못기다리고 달리고 있어요~~^^",김 비서가 왜 그럴까(애장판) 36화,321,11
116,달의정원,15.12.12,"아아ᆢ 제자리를 찾아가는 모습들이 좋네요 ㅎㅎ 
성연이도 가서 좋은  짝 찾아 ᆢ 이번에야말로 ^^♥",김 비서가 왜 그럴까(애장판) 64화,307,1
117,별리와소리☆★,15.12.12,"긍께 미소야 좀더 정상길을 걸은 네가 품어줘라
영준이 말마따나 미소 ᆢ 배려에 대해서나 빚에 대해서라면 영준에게 할말없잖아 ㅎㅎ",김 비서가 왜 그럴까(애장판) 60화,307,3
118,하늘사랑,16.01.05,"저기요...작가님....
이 긴장되는 상황에... 모두가 기대하고 눈 크게 뜨고 보고있는데... 이러시면...안돼요...ㅠ",김 비서가 왜 그럴까(애장판) 32화,306,2
119,바람불다♡♡,15.12.07,"그럼 ᆢ 그러던지ᆢ
정말ᆢ??  왠지 ᆢ 월급 올려 줄께 하게될거 같은건 오로지 나의 기분 탓ᆢ??",김 비서가 왜 그럴까(애장판) 02화,306,9
120,맑은하늘,16.07.17,태양이가 벌써 동생바보에 등록완료한 것 같네요~ㅋㅋ,김 비서가 왜 그럴까(애장판) 73화,300,4
121,바람속을걷다,15.12.11,거미 ᆢ거의 남주 여주에 버금가는 호러 주인공이자 과거의 문을 여는 신비의 그열쇠 ᆢ ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 49화,298,4
122,바람,15.12.07,얼마나 무서웠을까요....ㅜㅜ,김 비서가 왜 그럴까(애장판) 51화,298,7
123,수빈,15.12.17,미소가 좋아하는 작가가 부회장 형돼시는분이네요 어떻게 역어갈지 궁굼합니다 ㅋ,김 비서가 왜 그럴까(애장판) 24화,296,6
124,루루,17.04.27,"보배야, 몸매 관리 미리미리 해놔야 태양이 같이 멋진 남자를 쟁취할 수 있어~
그렇게 많이 먹다간...ㅋㅋㅋ
이 외전 완전 최고!!!",김 비서가 왜 그럴까(애장판) 84화(완결),290,9
125,달의정원,15.12.09,"흐음ᆢ 결국 이리되나ᆢ
뭐ᆢ 계속 갇혀서 썩어 문드러진 과거니ᆢ
한번 터지기는 해야하겠지만ᆢ
서로 그상처가 이번에는 제대로 봉합되기를 ᆢㅠㅠ",김 비서가 왜 그럴까(애장판) 31화,290,2
126,봄날ᆢ오후의나른함,15.12.20,성기가 아파서 ~~~박장대소ᆞ물개박수  틈을 내주지 않는 언어술사 작가님 ?????????책 구입 하러 검색~~^^,김 비서가 왜 그럴까(애장판) 30화,288,6
127,쟈스민,15.12.13,"왕 비서......성차별로 떨어졌어요~~ㅋㅋㅋㅋ
결혼 9년차 되면 숨쉬는 것도 아까우니까 숨쉬지 말라고 하게 되는 군요~~슬프네요~~!!???
어렸을 때 기억의 오빠가 이영준일 것 같아요. 둘 다 인지를 못하고 있을 뿐이지....서로 사랑하고 있답니다. 빨리 자각 좀 하세요 ~~!!???",김 비서가 왜 그럴까(애장판) 05화,287,14
128,로설이조아😁😍😘,15.12.08,작가님~ 저 이젠 아침 이예요~ 왜 이렇게 재밌게 쓰신 거예요~? 우리 작가님이 왜 그럴까?  독자들 잠도 못자게 스리.......^^,김 비서가 왜 그럴까(애장판) 40화,286,28
129,쟈스민,15.12.13,흠....9년전 채용 된 것이 혹시 김비서의 4~5세 때 이영준과 뭔가가 있었던 건 아닐까요? 왠지.....고졸에 무경력자가 고위 간부 비서실로 들어 갔다는 것이 뭔가 비하인드 스토리가 있는 것 같은데요~~!! 아니면 말구요~~!!???,김 비서가 왜 그럴까(애장판) 04화,281,5
130,ㅎㅎ,16.01.15,아무리 둘 기억이 잘못됫다고 하지만 부모들도 이상한게 잘못없눈 영준이한테 죄를 덮어씌우고 살게하고 싶을까?  이해가 안되네,김 비서가 왜 그럴까(애장판) 40화,274,24
131,코알라,15.12.26,제목이 왜 이래?라고 생각 많이 하긴했어용~~^^,김 비서가 왜 그럴까(애장판) 64화,267,8
132,Alex_Yun,16.07.19,새벽 한시에도 잠이 안 든 영준이 새벽 다섯시 반에 운동 끝났으면 아무리 악몽 때문에 못 잔다고 해도 도대체 몇 시간 잔다는 거야? ㅠㅠ,김 비서가 왜 그럴까(애장판) 77화,266,9
133,니냐니뇨,15.12.07,"근데 뜬금없지만 앞부분 미소랑 지아가
열광했던 로맨스소설 작가가 성현일듯.....",김 비서가 왜 그럴까(애장판) 25화,266,8
134,륜.,16.01.14,영준아 너의 행복한 신혼은 이제 끝났구나ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 68화,265,1
135,49,16.01.12,"궁금하면 100원 




내고 다음편",김 비서가 왜 그럴까(애장판) 38화,263,7
136,바람속을걷다,15.12.09,"헐 ᆢ 나도 불길하다
형님 ᆢ 다시 질투에 사로잡혀 복수한다고 날뛰시는건 아니쥐 ᆢ
그냥 ᆢ 넣어둬 ~???",김 비서가 왜 그럴까(애장판) 29화,263,10
137,빡초,15.12.10,그래..그건거미가아니었어..여자..,김 비서가 왜 그럴까(애장판) 50화,262,8
138,쟈스민,15.12.17,"가난은 창문 틈으로 새어 들어 오지만 사랑은 대문으로 광탈한다.
지금 영준과 미소의 현재진행형~~!!
미소~~눈물나게 따뜻했던 그 손의 오빠가 바로 영준이예요.....미치도록 찾고 싶은 사람과 벌써 9년이란 시간을 함께 보낸거랍니다. 알게 되면 감정의 흐름이 폭포수처럼 흐르겠죠~~!!??",김 비서가 왜 그럴까(애장판) 14화,260,4
139,선&준mam,18.06.13,드라마 끝나니 바로 뜨네요~~~ 박서준에서 빵터짐 ㅋㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 2화,253,2
140,달의정원,15.12.08,"호오~♥♥
영준아 ᆢ 기대 만땅으로 해도 돼~♥♥♥",김 비서가 왜 그럴까(애장판) 18화,249,2
141,미인아,18.06.20,뭔가.....예전에 봣던 김비서랑 부회장님이 아닌것같은...느낌...,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,245,4
142,별리와소리☆★,15.12.13,"주먹을 야무지게 말아지고 눈을 빛낸 미소야 ᆢ
그래서 곧휴를 걷어찰 일이 일어나기는 ᆢ안했을테고
비슷한 분위기라도 연출 ᆢ 안됐지ᆢ??  ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 75화,243,2
143,딱다구리,16.01.24,깨진 손잡이 불안하게 생각마셩 그래야 새잔도 사지 구두 뒷굽이 빠진게 낫지 발을 접질렀으면 미소가 아팠지 맘 먹기 달렸지 좋게 생각해 😉,김 비서가 왜 그럴까(애장판) 29화,242,5
144,달의정원,15.12.12,"붕어빵 때문이 아니죠 ㅋㅋ
눌려져있던 과거의 공포가 이제서야 그모습을 드러내는겁니다 ㅠㅠ",김 비서가 왜 그럴까(애장판) 59화,240,4
145,브리아나,16.02.16,"근데, 오전 6시 출근이라니...  넘 한 거 아님?
평소에는 그 시간 전에 부회장 집으로 출근한다는 얘기잖아.
밤 늦게 부회장 퇴근도 시키고...
대체 하루 몇시간 잔다는 거임?
세후보다 더 한 보스네.",김 비서가 왜 그럴까(애장판) 39화,237,10
146,🌙💫✨🌟💍,16.02.08,거미 잡아주게 시킨 다음 상황은 첨 나오네. 호흡곤란까지. 이때부터 미소 보호 시작됐구나.,김 비서가 왜 그럴까(애장판) 74화,230,댓글 달기
147,SarahYoon,16.02.03,"옛날 기억 속 오빠에 대해 어떻게 더 진
전을 시킬 수 있으려나.
현실같으면, 훅 덮을 수도 있을 일이지만.
뭔가 숨어 있어.
숨겨진 게 정체를 드러내야 할텐데.",김 비서가 왜 그럴까(애장판) 37화,229,8
148,(。⌒∇⌒)。,16.08.18,"나도 어릴 때 끌려가서 죽을 뻔한 적 있는데, 진짜 어릴 때 어른들이 험한 뉴스도 알려주고 같이 이야기하고 세상 험한 거 경계시켜야 해.. 의심하고 저항하는 것도 미리 가르쳐 놔야지,  순진하고 말 잘 듣는 애로 키우는 거 정말 소용없어.",김 비서가 왜 그럴까(애장판) 51화,226,4
149,Alex_Yun,17.04.27,"와우~~~
이 예쁜 커플을 더 볼 수 있다니...ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 79화,222,1
150,별리와소리☆★,15.12.13,"아ᆢ 인생은 마라톤 ᆢ
영준이의 인생관 ᆢ 너무 공감되면서 아이들에게 얘기 해주고 싶네요 ^^♥
영준아 ᆢ 엄지 척!! 세워줄께
너 멋져~♥♥",김 비서가 왜 그럴까(애장판) 76화,222,2
151,바람속을걷다,15.12.12,"미소야 ᆢᒺ블록버스터의  저주를 제대로 마무리 하는구나 ᆢ??? 
그래 ᆢ너네가 달리 9년의 동행자 였겠냐ᒺㅋㅋ  ???",김 비서가 왜 그럴까(애장판) 58화,217,5
152,빼미,16.01.01,영준은 납치당한거였구나.. 미소는? 그밤에 왜 거기갈 생각을 한거지? 마지막에 그납치범 여자는 절망해서 자살을 한건가? 그래서 둘이 도망치고..?? ???,김 비서가 왜 그럴까(애장판) 22화,216,5
153,달의정원,15.12.12,고마워~♥♥,김 비서가 왜 그럴까(애장판) 54화,213,1
154,바람,15.12.07,우리 미소 예쁘고 머리 좋고 맘 넓고...^^,김 비서가 왜 그럴까(애장판) 60화,209,댓글 달기
155,SarahYoon,16.02.15,"뿡쉣쉣쉫 버둥이 진심 무슨 노래인지 궁금하다고오.
중간에 잠깐 카이저 소제가 소환 됐던 거 같은데...?",김 비서가 왜 그럴까(애장판) 61화,204,5
156,감자꽃,17.04.27,"외전 완결을 축하하며 작가님 수고 많으셨어요
너무 잘만드셨고 쉬시고다시 오세요 저희는 기다릴게요!(ToT)",김 비서가 왜 그럴까(애장판) 84화(완결),200,4
157,으닝a,16.06.30,"작가님 성기씨한테 왜그러세욬ㅋㅋㅋㅋ
이 자리를 통해 사과할까보냐라닠ㅋㅋㅋ
아 너무한닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 78화,197,1
158,륜.,16.01.19,안돼..! 곧휴걷어차면 태양이랑 로라 못태어날수도 있어..ㅋㅋ,김 비서가 왜 그럴까(애장판) 75화,191,1
159,수노기,16.08.08,"미소가 열받을만 하잖아요??? 
좀 더 굴림당할 부회장님...파이팅~~",김 비서가 왜 그럴까(애장판) 33화,184,5
160,크라스니,15.12.07,담배와 친해지라니..... 제2의 성.........기로만드려는 계략인가,김 비서가 왜 그럴까(애장판) 57화,166,8
161,빠삐님❤️,18.06.06,드라마보고 알람와서 달려왔다 손 !!! 👋🏻,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 1화,165,15
162,Alex_Yun,17.04.27,"영준이 중국어도 능숙하구나!
잘 생겼지, 부자이지, 똑똑하지, 집요한 미소 사랑까지...
미소 복 받았네~~~~~",김 비서가 왜 그럴까(애장판) 80화,158,2
163,yesorno,18.06.20,이 소설의 매력은 지나치게 비현실적이고 완벽한 캐릭터 아니었나..? 뭔가 좀... 이런 장면들은 김비서에서는 보고 싶지 않았는데.....,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 3화,156,1
164,유갱,16.03.20,"붑붑하면서 영준이 얼굴에 튀거나 뱉을 줄 알았는뎈ㅋㅋㅋㅋㅋ
그래도 다 삼키고 나무꽂이만 입에서 나왔넼ㅋㅋㅋㅋㅋ카라멜 하나로 먹방할때부터 먹방계의 떡잎이었구나",김 비서가 왜 그럴까(애장판) 76화,151,2
165,별리와소리☆★,15.12.13,푸하하하하하하 ~♥♥,김 비서가 왜 그럴까(애장판) 77화,135,4
166,루루,17.04.27,아빠만 사랑하는 하늘이가 태어날 걸 아는 독자로서 유식이가 참.. 짠하다~~ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 83화,134,1
167,망치,18.06.06,오메 드라마 보고 오니까 외전떴네,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 1화,131,5
168,죽음의꽃향기(세젤예꿀소스♡),17.04.28,"이런이런.. 미소 혼자만의 관광은 물건너갔지만 부회장님과의 데이트는 성공적인거 같네요ㅋㅋ

사실 미소 혼자 돌아다니기에는 안심이 안되긴 하죠. 워낙에 미모가 ㅎㅎ 부회장님이 보디가드겸 가이드겸 남친겸 같이 있어주시는게ㅎㅎㅎ
저로썬 좋습니다~♡♡♡ 비주얼 커플 굿쟙~>_<)///",김 비서가 왜 그럴까(애장판) 80화,116,1
169,선&준mam,18.06.27,역시 부부싸움은 칼로 물베기~ ^^ 오늘 드라마에서 영준이 너무 멋있었어~~~~,김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 4화(완결),83,2
170,죽음의꽃향기(세젤예꿀소스♡),17.04.28,"박사장님.. 당신으로 모자라서 딸내미까지 홍삼 PPL에 참여 시키시다니ㅋㅋ
역시 당신은 홍삼 요정입니다ㅋㅋㅋㅋㅋ

근데 우짜지요? 영준이.. 둘째가 아빠왕바보 딸인데ㅠㅠ 박사장님 화이팅요~~",김 비서가 왜 그럴까(애장판) 83화,83,2
171,루루,17.04.27,"원래 츤데레 별로 안 좋아하지만, 영준이는 예외로 엄청 좋음!!! ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 81화,83,댓글 달기
172,사용할닉네임,15.12.17,"여기 댓글 단분들 다 미혼이거나 신혼인가보네 9년을 살아도 17년을 살아도 부부는 절대 서로가 척척 알지못해요 그래서 위기의 부부가 나오는거지ㅋㅋㅋ
미소는 늘 일이였으니까 그래서 일방적으로  맞춰줬잔아 부부라면 저리못하지",김 비서가 왜 그럴까(애장판) 15화,79,3
173,ㅇㅁㅈ,18.06.10,댓글과 내용이 전혀달라.. 편집 달라졌어요?,김 비서가 왜 그럴까(애장판) 74화,78,2
174,JS,17.03.27,확실한건 이소설은 판타지야 차라리 마수들이나오고 마법쏘고 응 그게더 현실감있겠어,김 비서가 왜 그럴까(애장판) 66화,78,3
175,수연,18.06.27,"지금은 박서준이 이영준 아닌가요?ㅋㅋㅋㅋ
네.그러니 전 선택을...큼큼",김 비서가 왜 그럴까 스페셜 외전 - 신혼일기 4화(완결),70,2
176,루루,17.04.27,태양이와 하늘이도 너무너무 귀엽고 참 사랑스러운 가족이네~^^,김 비서가 왜 그럴까(애장판) 82화,70,4
177,SarahYoon,17.05.02,"차 팔아서 빚갚으려나..  
하이고 아부지.
또왜 딸 이름 팔아서 고리대금을.",김 비서가 왜 그럴까(애장판) 81화,69,댓글 달기
178,SarahYoon,16.02.11,세상에 유괴됐던 꼬맹이가 살아 돌아왔는데 가족들이 아무도 모르는 상황이네.,김 비서가 왜 그럴까(애장판) 54화,69,댓글 달기
